pred,test,diff
11.58644,0.0,11.586440086364746
51.62812,76.5,-24.87187957763672
68.575615,68.0,0.5756149291992188
50.441143,76.5,-26.058856964111328
45.304134,76.5,-31.195865631103516
51.746193,76.5,-24.753807067871094
39.3774,58.67,-19.292600555419924
60.53095,68.0,-7.469051361083984
13.285638,76.5,-63.214362144470215
13.285638,76.5,-63.214362144470215
73.14709,86.00000000000001,-12.852912902832045
27.44946,43.00000000000001,-15.550540924072273
73.14709,86.00000000000001,-12.852912902832045
47.201714,63.0,-15.798286437988281
97.964035,86.00000000000001,11.964035034179673
47.707005,63.0,-15.29299545288086
69.74636,63.0,6.746360778808594
73.14709,86.00000000000001,-12.852912902832045
73.14709,86.00000000000001,-12.852912902832045
69.74636,63.0,6.746360778808594
97.964035,86.00000000000001,11.964035034179673
33.113903,63.75,-30.636096954345703
73.14709,86.00000000000001,-12.852912902832045
73.14709,86.00000000000001,-12.852912902832045
51.305763,76.5,-25.194236755371094
48.855125,60.27,-11.41487457275391
57.971184,68.0,-10.028816223144531
62.40879,68.0,-5.591209411621094
51.816666,76.5,-24.683334350585938
39.068584,59.99999999999999,-20.93141555786132
71.25216,55.79999999999999,15.452159118652354
30.543058,52.35999999999999,-21.81694160461425
29.681574,49.74,-20.05842613220215
51.07347,76.5,-25.426528930664062
74.559204,68.0,6.5592041015625
69.27049,68.0,1.2704925537109375
105.65655,93.6,12.056547546386724
56.64404,76.5,-19.855960845947266
59.812187,76.5,-16.68781280517578
11.288435,76.5,-65.2115650177002
57.991177,76.5,-18.50882339477539
54.895615,68.0,-13.104385375976562
54.29901,68.0,-13.70098876953125
64.451584,81.0,-16.548416137695312
41.347305,76.08,-34.732694702148436
54.125587,76.5,-22.374412536621094
53.065796,76.5,-23.4342041015625
101.65394,37.33,64.32393829345703
54.873806,76.5,-21.62619400024414
72.90855,90.0,-17.091453552246094
74.00345,45.0,29.003448486328125
73.60055,45.0,28.600547790527344
59.32925,76.5,-17.17074966430664
51.152363,62.37,-11.21763717651367
84.71417,48.6,36.11417236328125
84.71417,48.6,36.11417236328125
53.20587,48.6,4.605871582031249
35.163017,62.0,-26.83698272705078
42.073425,76.5,-34.42657470703125
47.41385,67.5,-20.086151123046875
48.550186,76.5,-27.949813842773438
62.996834,76.5,-13.503166198730469
55.804867,76.5,-20.695133209228516
57.281506,68.85,-11.568494415283197
72.69828,68.85,3.848280334472662
83.28592,100.0,-16.714080810546875
46.721046,76.5,-29.778953552246094
47.367702,58.900000000000006,-11.532297515869146
51.936153,63.75,-11.813846588134766
40.90525,68.85,-27.944749450683588
98.80549,76.5,22.30548858642578
73.21692,68.0,5.2169189453125
58.902306,106.25000000000001,-47.34769439697267
37.76128,58.900000000000006,-21.138719940185553
37.76128,58.900000000000006,-21.138719940185553
56.23137,51.96,4.271369018554687
54.041107,75.0,-20.958892822265625
56.23137,51.96,4.271369018554687
83.09164,104.0,-20.908363342285156
43.762672,76.5,-32.737327575683594
85.634224,94.5,-8.865776062011719
85.634224,94.5,-8.865776062011719
48.98185,76.5,-27.518150329589844
60.63812,76.5,-15.861881256103516
85.634224,94.5,-8.865776062011719
82.44009,94.5,-12.059913635253906
120.364716,138.5,-18.135284423828125
43.834,55.96,-12.126000366210938
85.634224,94.5,-8.865776062011719
85.634224,94.5,-8.865776062011719
62.649746,72.5,-9.85025405883789
82.44009,94.5,-12.059913635253906
82.44009,94.5,-12.059913635253906
85.634224,94.5,-8.865776062011719
82.44009,94.5,-12.059913635253906
62.649746,72.5,-9.85025405883789
85.634224,94.5,-8.865776062011719
82.44009,94.5,-12.059913635253906
