pred,test,diff
62566.777,0.0,62566.77734375
278791.84,76.5,278715.34375
370308.3,68.0,370240.3125
272382.2,76.5,272305.6875
244642.33,76.5,244565.828125
279429.44,76.5,279352.9375
212637.95,58.67,212579.283125
326867.12,68.0,326799.125
71742.445,76.5,71665.9453125
71742.445,76.5,71665.9453125
394994.28,86.00000000000001,394908.28125
148227.08,43.00000000000001,148184.078125
394994.28,86.00000000000001,394908.28125
254889.25,63.0,254826.25
529005.8,86.00000000000001,528919.8125
257617.83,63.0,257554.828125
376630.34,63.0,376567.34375
394994.28,86.00000000000001,394908.28125
394994.28,86.00000000000001,394908.28125
376630.34,63.0,376567.34375
529005.8,86.00000000000001,528919.8125
178815.08,63.75,178751.328125
394994.28,86.00000000000001,394908.28125
394994.28,86.00000000000001,394908.28125
277051.12,76.5,276974.625
263817.7,60.27,263757.4175
313044.4,68.0,312976.40625
337007.47,68.0,336939.46875
279810.0,76.5,279733.5
210970.36,59.99999999999999,210910.359375
384761.66,55.79999999999999,384705.85625
164932.52,52.35999999999999,164880.155625
160280.5,49.74,160230.76
275796.75,76.5,275720.25
402619.7,68.0,402551.6875
374060.66,68.0,373992.65625
570545.4,93.6,570451.775
305877.8,76.5,305801.3125
322985.8,76.5,322909.3125
60957.55,76.5,60881.05078125
313152.34,76.5,313075.84375
296436.3,68.0,296368.3125
293214.66,68.0,293146.65625
348038.56,81.0,347957.5625
223275.45,76.08,223199.373125
292278.2,76.5,292201.6875
286555.3,76.5,286478.8125
548931.25,37.33,548893.92
296318.56,76.5,296242.0625
393706.16,90.0,393616.15625
399618.62,45.0,399573.625
397442.97,45.0,397397.96875
320377.94,76.5,320301.4375
276222.75,62.37,276160.38
457456.53,48.6,457407.93125
457456.53,48.6,457407.93125
287311.72,48.6,287263.11875
189880.3,62.0,189818.296875
227196.5,76.5,227120.0
256034.78,67.5,255967.28125
262171.0,76.5,262094.5
340182.9,76.5,340106.40625
301346.28,76.5,301269.78125
309320.12,68.85,309251.275
392570.72,68.85,392501.86875
449743.97,100.0,449643.96875
252293.66,76.5,252217.15625
255785.6,58.900000000000006,255726.69375
280455.22,63.75,280391.46875
220888.36,68.85,220819.509375
533549.6,76.5,533473.125
395371.38,68.0,395303.375
318072.44,106.25000000000001,317966.1875
203910.9,58.900000000000006,203852.00625
203910.9,58.900000000000006,203852.00625
303649.4,51.96,303597.44625
291821.97,75.0,291746.96875
303649.4,51.96,303597.44625
448694.84,104.0,448590.84375
236318.44,76.5,236241.9375
462424.8,94.5,462330.3125
462424.8,94.5,462330.3125
264502.0,76.5,264425.5
